label_id_long;label_id;parent_id;segment_description;label_name;
10000000000;1;0;;Demographic;
10100000000;101;1;age;Demographic  Age Range;
10101000000;10101;101;age;Demographic  Age Range  18-20;
10102000000;10102;101;age;Demographic  Age Range  18-24;
10103000000;10103;101;age;Demographic  Age Range  21-24;
10104000000;10104;101;age;Demographic  Age Range  21-29;
10105000000;10105;101;age;Demographic  Age Range  25-29;
10106000000;10106;101;age;Demographic  Age Range  25-34;
10107000000;10107;101;age;Demographic  Age Range  30-34;
10108000000;10108;101;age;Demographic  Age Range  30-39;
10109000000;10109;101;age;Demographic  Age Range  35-39;
10110000000;10110;101;age;Demographic  Age Range  35-44;
10111000000;10111;101;age;Demographic  Age Range  40-44;
10112000000;10112;101;age;Demographic  Age Range  40-49;
10113000000;10113;101;age;Demographic  Age Range  45-49;
10114000000;10114;101;age;Demographic  Age Range  45-54;
10115000000;10115;101;age;Demographic  Age Range  50-54;
10116000000;10116;101;age;Demographic  Age Range  50-59;
10117000000;10117;101;age;Demographic  Age Range  55-59;
10118000000;10118;101;age;Demographic  Age Range  55-64;
10119000000;10119;101;age;Demographic  Age Range  60-64;
10120000000;10120;101;age;Demographic  Age Range  60-69;
10121000000;10121;101;age;Demographic  Age Range  65+;
10122000000;10122;101;age;Demographic  Age Range  65-69;
10123000000;10123;101;age;Demographic  Age Range  65-74;
10124000000;10124;101;age;Demographic  Age Range  70+;
10125000000;10125;101;age;Demographic  Age Range  70-74;
10126000000;10126;101;age;Demographic  Age Range  75+;
10200000000;102;1;information regarding status quo car ownership in household;Demographic  Car Ownership;
10201000000;10201;102;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand;
10201010000;1020101;10201;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand  Alfa Romeo;
10201020000;1020102;10201;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand  Audi;
10201030000;1020103;10201;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand  Bentley;
10201040000;1020104;10201;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand  BMW;
10201050000;1020105;10201;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand  Citroen;
10201060000;1020106;10201;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand  Daimler/ Mercedes;
10201070000;1020107;10201;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand  Ferrari;
10201080000;1020108;10201;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand  Honda;
10201090000;1020109;10201;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand  Infiniti;
10201100000;1020110;10201;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand  Jaguar;
10201110000;1020111;10201;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand  Jeep;
10201120000;1020112;10201;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand  Land rover;
10201130000;1020113;10201;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand  Lexus;
10201140000;1020114;10201;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand  Maserati;
10201150000;1020115;10201;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand  Nissan;
10201160000;1020116;10201;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand  Peugeot;
10201170000;1020117;10201;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand  Porsche;
10201180000;1020118;10201;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand  Suzuki;
10201190000;1020119;10201;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand  Toyota;
10201200000;1020120;10201;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand  Volvo;
10201210000;1020121;10201;information regarding status quo car ownership in household;Demographic  Car Ownership  Brand  VW;
10202000000;10202;102;information regarding status quo car ownership in household;Demographic  Car Ownership  Drive Type;
10202010000;1020201;10202;information regarding status quo car ownership in household;Demographic  Car Ownership  Drive Type  Diesel;
10202020000;1020202;10202;information regarding status quo car ownership in household;Demographic  Car Ownership  Drive Type  Electric;
10202030000;1020203;10202;information regarding status quo car ownership in household;Demographic  Car Ownership  Drive Type  Gas;
10202040000;1020204;10202;information regarding status quo car ownership in household;Demographic  Car Ownership  Drive Type  Gasoline;
10202050000;1020205;10202;information regarding status quo car ownership in household;Demographic  Car Ownership  Drive Type  Hybrid;
10202060000;1020206;10202;information regarding status quo car ownership in household;Demographic  Car Ownership  Drive Type  Other;
10202070000;1020207;10202;information regarding status quo car ownership in household;Demographic  Car Ownership  Drive Type  Plug-in Hybrid;
10203000000;10203;102;information regarding status quo car ownership in household;Demographic  Car Ownership  Financing;
10203010000;1020301;10203;information regarding status quo car ownership in household;Demographic  Car Ownership  Financing  Bank credit;
10203020000;1020302;10203;information regarding status quo car ownership in household;Demographic  Car Ownership  Financing  Carbank credit;
10203030000;1020303;10203;information regarding status quo car ownership in household;Demographic  Car Ownership  Financing  Direct payment (cash or transfer);
10203040000;1020304;10203;information regarding status quo car ownership in household;Demographic  Car Ownership  Financing  Leasing;
10203050000;1020305;10203;information regarding status quo car ownership in household;Demographic  Car Ownership  Financing  Long-time rental;
10203060000;1020306;10203;information regarding status quo car ownership in household;Demographic  Car Ownership  Financing  Private sale old car;
10203070000;1020307;10203;information regarding status quo car ownership in household;Demographic  Car Ownership  Financing  Trade-in old car;
10204000000;10204;102;information regarding status quo car ownership in household;Demographic  Car Ownership  Style;
10204010000;1020401;10204;information regarding status quo car ownership in household;Demographic  Car Ownership  Style  Compact class;
10204020000;1020402;10204;information regarding status quo car ownership in household;Demographic  Car Ownership  Style  Luxury class;
10204030000;1020403;10204;information regarding status quo car ownership in household;Demographic  Car Ownership  Style  Micro car;
10204040000;1020404;10204;information regarding status quo car ownership in household;Demographic  Car Ownership  Style  Middle class;
10204050000;1020405;10204;information regarding status quo car ownership in household;Demographic  Car Ownership  Style  Motorcycle;
10204060000;1020406;10204;information regarding status quo car ownership in household;Demographic  Car Ownership  Style  Off-road vehicle;
10204070000;1020407;10204;information regarding status quo car ownership in household;Demographic  Car Ownership  Style  Scooter;
10204080000;1020408;10204;information regarding status quo car ownership in household;Demographic  Car Ownership  Style  Small car;
10204090000;1020409;10204;information regarding status quo car ownership in household;Demographic  Car Ownership  Style  Sports car;
10204100000;1020410;10204;information regarding status quo car ownership in household;Demographic  Car Ownership  Style  SUV;
10204100100;102041001;1020410;information regarding status quo car ownership in household;Demographic  Car Ownership  Style  SUV  Compact SUV;
10204100200;102041002;1020410;information regarding status quo car ownership in household;Demographic  Car Ownership  Style  SUV  Large SUV;
10204100300;102041003;1020410;information regarding status quo car ownership in household;Demographic  Car Ownership  Style  SUV  Mini SUV;
10204120000;1020412;10204;information regarding status quo car ownership in household;Demographic  Car Ownership  Style  Upper mid-range;
10204130000;1020413;10204;information regarding status quo car ownership in household;Demographic  Car Ownership  Style  Van;
10204130100;102041301;1020413;information regarding status quo car ownership in household;Demographic  Car Ownership  Style  Van  Compact van;
10204130200;102041302;1020413;information regarding status quo car ownership in household;Demographic  Car Ownership  Style  Van  Large can;
10204130300;102041303;1020413;information regarding status quo car ownership in household;Demographic  Car Ownership  Style  Van  Mini-Van;
10205000000;10205;102;information regarding status quo car ownership in household;Demographic  Car Ownership  Type;
10205010000;1020501;10205;information regarding status quo car ownership in household;Demographic  Car Ownership  Type  New Vehicle;
10205020000;1020502;10205;information regarding status quo car ownership in household;Demographic  Car Ownership  Type  Used Vehicle;
10300000000;103;1;education status;Demographic  Education & Occupation;
10301000000;10301;103;education status;Demographic  Education & Occupation  Education;
10301010000;1030101;10301;education status;Demographic  Education & Occupation  Education  Bachelor;
10301020000;1030102;10301;education status;Demographic  Education & Occupation  Education  College Education (Gynmasium);
10301030000;1030103;10301;education status;Demographic  Education & Occupation  Education  Diplman/ Magister;
10301040000;1030104;10301;education status;Demographic  Education & Occupation  Education  Master;
10301050000;1030105;10301;education status;Demographic  Education & Occupation  Education  Primary Education (Hauptschule);
10301060000;1030106;10301;education status;Demographic  Education & Occupation  Education  Promotion;
10301070000;1030107;10301;education status;Demographic  Education & Occupation  Education  Secondary Education (Realschule);
10302000000;10302;103;education status;Demographic  Education & Occupation  Employment Role;
10302010000;1030201;10302;education status;Demographic  Education & Occupation  Employment Role  Civil Servant;
10302020000;1030202;10302;education status;Demographic  Education & Occupation  Employment Role  Freelancer;
10302030000;1030203;10302;education status;Demographic  Education & Occupation  Employment Role  Laborers;
10302040000;1030204;10302;education status;Demographic  Education & Occupation  Employment Role  Salaried Employee;
10302040100;103020401;1030204;education status;Demographic  Education & Occupation  Employment Role  Salaried Employee  Managerial employee;
10302040200;103020402;1030204;education status;Demographic  Education & Occupation  Employment Role  Salaried Employee  Medium salariedm employee;
10302040300;103020403;1030204;education status;Demographic  Education & Occupation  Employment Role  Salaried Employee  Qualified employee;
10302040400;103020404;1030204;education status;Demographic  Education & Occupation  Employment Role  Salaried Employee  Simple employee;
10302050000;1030205;10302;education status;Demographic  Education & Occupation  Employment Role  Self Employed;
10302050100;103020501;1030205;education status;Demographic  Education & Occupation  Employment Role  Self Employed  Self Employed with 10-49 Employees;
10302050200;103020502;1030205;education status;Demographic  Education & Occupation  Employment Role  Self Employed  Self Employed with 6-9 Employees;
10302050300;103020503;1030205;education status;Demographic  Education & Occupation  Employment Role  Self Employed  Self Employed with more than 50 Employees;
10302050400;103020504;1030205;education status;Demographic  Education & Occupation  Employment Role  Self Employed  Self Employed with up to 5 Employees;
10302050500;103020505;1030205;education status;Demographic  Education & Occupation  Employment Role  Self Employed  Self Emplyed without Employees;
10302060000;1030206;10302;education status;Demographic  Education & Occupation  Employment Role  Self-employed farmer;
10302070000;1030207;10302;education status;Demographic  Education & Occupation  Employment Role  Student;
10302080000;1030208;10302;education status;Demographic  Education & Occupation  Employment Role  Unemployed;
10303000000;10303;103;education status;Demographic  Education & Occupation  Employment Status;
10303010000;1030301;10303;education status;Demographic  Education & Occupation  Employment Status  Employed;
10303010100;103030101;1030301;education status;Demographic  Education & Occupation  Employment Status  Employed  Full-Time;
10303010200;103030102;1030301;education status;Demographic  Education & Occupation  Employment Status  Employed  Part-Time;
10303020000;1030302;10303;education status;Demographic  Education & Occupation  Employment Status  Retired;
10303030000;1030303;10303;education status;Demographic  Education & Occupation  Employment Status  Self-Employed;
10303040000;1030304;10303;education status;Demographic  Education & Occupation  Employment Status  Student;
10303050000;1030305;10303;education status;Demographic  Education & Occupation  Employment Status  Unemployed;
10303060000;1030306;10303;education status;Demographic  Education & Occupation  Employment Status  Unemployed / Job Seeker;
10304000000;10304;103;education status;Demographic  Education & Occupation  Industry;
10304010000;1030401;10304;education status;Demographic  Education & Occupation  Industry  Advertising Industry;
10304020000;1030402;10304;education status;Demographic  Education & Occupation  Industry  Agriculture;
10304030000;1030403;10304;education status;Demographic  Education & Occupation  Industry  Apparel Industry;
10304040000;1030404;10304;education status;Demographic  Education & Occupation  Industry  Automotive Industry;
10304050000;1030405;10304;education status;Demographic  Education & Occupation  Industry  Aviation Industry;
10304060000;1030406;10304;education status;Demographic  Education & Occupation  Industry  Biotech and Biomedical Industry;
10304070000;1030407;10304;education status;Demographic  Education & Occupation  Industry  Civil Engineering Industry;
10304080000;1030408;10304;education status;Demographic  Education & Occupation  Industry  Construction Industry;
10304090000;1030409;10304;education status;Demographic  Education & Occupation  Industry  Defense Industry;
10304100000;1030410;10304;education status;Demographic  Education & Occupation  Industry  Education industry;
10304110000;1030411;10304;education status;Demographic  Education & Occupation  Industry  Entertainment Industry;
10304120000;1030412;10304;education status;Demographic  Education & Occupation  Industry  Environmental Services Industry;
10304130000;1030413;10304;education status;Demographic  Education & Occupation  Industry  Financial Industry;
10304140000;1030414;10304;education status;Demographic  Education & Occupation  Industry  Food Industry;
10304150000;1030415;10304;education status;Demographic  Education & Occupation  Industry  Healthcare Industry;
10304160000;1030416;10304;education status;Demographic  Education & Occupation  Industry  Hospitality Industry;
10304170000;1030417;10304;education status;Demographic  Education & Occupation  Industry  Information Services Industry;
10304180000;1030418;10304;education status;Demographic  Education & Occupation  Industry  Legal Services Industry;
10304190000;1030419;10304;education status;Demographic  Education & Occupation  Industry  Logistics and Transportation Industry;
10304200000;1030420;10304;education status;Demographic  Education & Occupation  Industry  Management Consulting Industry;
10304210000;1030421;10304;education status;Demographic  Education & Occupation  Industry  Manufacturing Industry;
10304220000;1030422;10304;education status;Demographic  Education & Occupation  Industry  Mechanical and Industrial Engineering Industry;
10304230000;1030423;10304;education status;Demographic  Education & Occupation  Industry  Media Industry;
10304240000;1030424;10304;education status;Demographic  Education & Occupation  Industry  Metals Industry;
10304250000;1030425;10304;education status;Demographic  Education & Occupation  Industry  Non-Profit Organizations;
10304260000;1030426;10304;education status;Demographic  Education & Occupation  Industry  Pharmaceutical Industry;
10304270000;1030427;10304;education status;Demographic  Education & Occupation  Industry  Power and Energy Industry;
10304280000;1030428;10304;education status;Demographic  Education & Occupation  Industry  Publishing Industry;
10304290000;1030429;10304;education status;Demographic  Education & Occupation  Industry  Real Estate Industry;
10304300000;1030430;10304;education status;Demographic  Education & Occupation  Industry  Retail Industry;
10304310000;1030431;10304;education status;Demographic  Education & Occupation  Industry  Technology Industry;
10304320000;1030432;10304;education status;Demographic  Education & Occupation  Industry  Telecommunications Industry;
10400000000;104;1;gender;Demographic  Gender;
10401000000;10401;104;gender;Demographic  Gender  Female;
10402000000;10402;104;gender;Demographic  Gender  Male;
10403000000;10403;104;gender;Demographic  Gender  Other Gender;
10404000000;10404;104;gender;Demographic  Gender  Unknown Gender;
10500000000;105;1;information on current health and lifestyle/ nutrition status;Demographic  Health & Lifestyle;
10501000000;10501;105;information on current health and lifestyle/ nutrition status;Demographic  Health & Lifestyle  Beauty;
10501010000;1050101;10501;information on current health and lifestyle/ nutrition status;Demographic  Health & Lifestyle  Beauty  Dry skin;
10501020000;1050102;10501;information on current health and lifestyle/ nutrition status;Demographic  Health & Lifestyle  Beauty  Sensible skin;
10501030000;1050103;10501;information on current health and lifestyle/ nutrition status;Demographic  Health & Lifestyle  Beauty  Skin irritation;
10502000000;10502;105;information on current health and lifestyle/ nutrition status;Demographic  Health & Lifestyle  Nutrition;
10502010000;1050201;10502;information on current health and lifestyle/ nutrition status;Demographic  Health & Lifestyle  Nutrition  Flexetarian;
10502020000;1050202;10502;information on current health and lifestyle/ nutrition status;Demographic  Health & Lifestyle  Nutrition  Gluten Free;
10502030000;1050203;10502;information on current health and lifestyle/ nutrition status;Demographic  Health & Lifestyle  Nutrition  Lactose Free;
10502040000;1050204;10502;information on current health and lifestyle/ nutrition status;Demographic  Health & Lifestyle  Nutrition  Low Calorie;
10502050000;1050205;10502;information on current health and lifestyle/ nutrition status;Demographic  Health & Lifestyle  Nutrition  Low Carb;
10502060000;1050206;10502;information on current health and lifestyle/ nutrition status;Demographic  Health & Lifestyle  Nutrition  Other diet style;
10502070000;1050207;10502;information on current health and lifestyle/ nutrition status;Demographic  Health & Lifestyle  Nutrition  Vegan;
10502080000;1050208;10502;information on current health and lifestyle/ nutrition status;Demographic  Health & Lifestyle  Nutrition  Vegetarian;
10502090000;1050209;10502;information on current health and lifestyle/ nutrition status;Demographic  Health & Lifestyle  Nutrition  Wholefood;
10600000000;106;1;information on household fittings location members;Demographic  Household Data;
10601000000;10601;106;information on household fittings location members;Demographic  Household Data  Home Location;
10601010000;1060101;10601;information on household fittings location members;Demographic  Household Data  Home Location  Commercial areas;
10601020000;1060102;10601;information on household fittings location members;Demographic  Household Data  Home Location  Densified housing;
